"행정구역","2025년05월_계_총인구수","2025년05월_계_연령구간인구수","2025년05월_계_0~9세","2025년05월_계_10~19세","2025년05월_계_20~29세","2025년05월_계_30~39세","2025년05월_계_40~49세","2025년05월_계_50~59세","2025년05월_계_60~69세","2025년05월_계_70~79세","2025년05월_계_80~89세","2025년05월_계_90~99세","2025년05월_계_100세 이상"
"서울특별시 성북구 정릉제4동(1129065000)","23,774","23,774","1,061","1,843","2,990","2,844","3,268","4,274","3,704","2,420","1,205","161","4"
"서울특별시 성북구 길음제1동(1129066000)","35,470","35,470","2,721","5,122","3,559","3,759","6,964","6,268","3,565","2,215","1,151","143","3"
"서울특별시 성북구 길음제2동(1129068500)","21,468","21,468","1,871","2,063","2,493","2,779","3,760","3,721","2,558","1,509","616","94","4"
"서울특별시 성북구 종암동(1129070500)","36,683","36,683","1,826","3,193","5,186","4,426","5,357","6,239","5,284","3,095","1,769","297","11"
"서울특별시 성북구 월곡제1동(1129071500)","25,020","25,020","1,474","2,294","2,622","3,150","3,884","4,291","3,675","2,354","1,150","121","5"
"서울특별시 성북구 월곡제2동(1129072500)","18,477","18,477","676","1,265","3,330","2,562","2,287","2,878","2,711","1,738","895","132","3"
"서울특별시 성북구 장위제1동(1129076000)","22,836","22,836","1,248","1,708","2,790","3,089","3,260","4,049","3,674","1,991","925","102","0"
"서울특별시 성북구 장위제2동(1129077000)","14,562","14,562","629","819","1,795","2,235","1,911","2,397","2,313","1,625","731","103","4"
"서울특별시 성북구 장위제3동(1129078000)","17,511","17,511","1,633","1,400","2,085","2,653","2,933","2,862","2,238","1,159","484","63","1"
"서울특별시 성북구 석관동(1129081000)","33,074","33,074","1,509","1,910","4,287","4,619","4,232","5,501","5,536","3,566","1,733","173","8"
"서울특별시 강북구 (1130500000)","281,607","281,607","10,035","18,345","35,451","34,327","37,115","49,316","47,751","31,383","15,963","1,874","47"
"서울특별시 강북구 삼양동(1130553400)","24,422","24,422","1,049","1,694","2,919","2,956","3,313","4,478","4,131","2,532","1,222","126","2"
"서울특별시 강북구 미아동(1130553500)","20,498","20,498","449","1,055","3,357","2,735","2,415","3,431","3,597","2,173","1,155","128","3"
"서울특별시 강북구 송중동(1130554500)","27,701","27,701","1,117","1,764","3,485","3,530","3,800","4,766","4,718","2,980","1,378","159","4"
"서울특별시 강북구 송천동(1130555500)","22,297","22,297","608","1,179","2,469","2,616","2,731","4,013","4,423","2,781","1,328","143","6"
"서울특별시 강북구 삼각산동(1130557500)","30,118","30,118","1,988","3,672","3,167","3,118","5,172","5,738","3,704","2,327","1,087","144","1"
"서울특별시 강북구 번1동(1130559500)","16,175","16,175","398","778","2,710","2,365","2,203","2,702","2,473","1,660","801","80","5"
"서울특별시 강북구 번2동(1130560300)","14,500","14,500","412","775","1,635","1,566","1,795","2,496","2,659","1,979","1,069","109","5"
"서울특별시 강북구 번3동(1130560800)","15,783","15,783","574","1,037","1,493","1,589","1,855","2,704","2,729","2,349","1,316","133","4"
"서울특별시 강북구 수유1동(1130561500)","19,464","19,464","601","1,192","2,596","2,569","2,503","3,213","3,428","2,161","1,052","147","2"
"서울특별시 강북구 수유2동(1130562500)","20,122","20,122","711","1,148","2,359","2,290","2,504","3,548","3,649","2,409","1,334","167","3"
